date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:40	26049/26049	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20May%202021%2004:59:38%20GMT	https://preview.colorlib.com/theme/educrown/	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/index.html	(from )
10:29:40	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
10:29:41	703/703	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://preview.colorlib.com/theme/educrown/assest/img/xfavicon.png.pagespeed.ic.BzXhbjIE47.png	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/xfavicon.png.pagespeed.ic.BzXhbjIE47.png	(from https://preview.colorlib.com/theme/educrown/)
10:29:41	911/911	---MCZ	200	added ('OK')	text/css	etag:W/%2238f-56c9719b977c0%22	https://preview.colorlib.com/theme/educrown/assest/css/plugins.css	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/css/plugins.css	(from https://preview.colorlib.com/theme/educrown/)
10:29:42	1821/1821	---MCZ	200	added ('OK')	text/css	etag:W/%2271d-56c9719c8ba00%22	https://preview.colorlib.com/theme/educrown/assest/css/theme.css	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/css/theme.css	(from https://preview.colorlib.com/theme/educrown/)
10:29:44	31018/31018	---MCZ	200	added ('OK')	text/css	etag:W/%22792a-56c97256830c0-gzip%22	https://preview.colorlib.com/theme/educrown/assest/css/icons/font-awesome.min.css	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/css/icons/font-awesome.min.css	(from https://preview.colorlib.com/theme/educrown/)
10:29:44	9182/9182	---MCZ	200	added ('OK')	text/css	etag:W/%2223de-56c97251be580-gzip%22	https://preview.colorlib.com/theme/educrown/assest/css/icons/bicon.min.css	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/css/icons/bicon.min.css	(from https://preview.colorlib.com/theme/educrown/)
10:29:44	16492/16492	---MCZ	200	added ('OK')	text/css	etag:W/%22406c-56c972595f780-gzip%22	https://preview.colorlib.com/theme/educrown/assest/css/icons/themify-icons.css	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/css/icons/themify-icons.css	(from https://preview.colorlib.com/theme/educrown/)
10:29:45	108749/108749	---MCZ	200	added ('OK')	text/css	etag:W/%221a8cd-56c9725b47c00-gzip%22	https://preview.colorlib.com/theme/educrown/assest/css/icons/icofont.css	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/css/icons/icofont.css	(from https://preview.colorlib.com/theme/educrown/)
10:29:45	9201/9201	---MCZ	200	added ('OK')	text/css	etag:W/%220-gzip%22	https://preview.colorlib.com/theme/educrown/A.style.css+assest,,_css,,_responsive.css,Mcc.p59ycfPQpr.css.pagespeed.cf.56LreLdKMG.css	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/A.style.css+assest,,_css,,_responsive.css,Mcc.p59ycfPQpr.css.pagespeed.cf.56LreLdKMG.css	(from https://preview.colorlib.com/theme/educrown/)
10:29:46	15514/15514	---MCZ	200	added ('OK')	application/javascript	etag:W/%223c9a-56c972a2ce4c0-gzip%22	https://preview.colorlib.com/theme/educrown/assest/js/vendor/modernizr-2.8.3.min.js	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/js/vendor/modernizr-2.8.3.min.js	(from https://preview.colorlib.com/theme/educrown/)
10:29:46	1271/1271	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://preview.colorlib.com/theme/educrown/assest/img/xlogo.png.pagespeed.ic.4iIFBOepW-.png	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/xlogo.png.pagespeed.ic.4iIFBOepW-.png	(from https://preview.colorlib.com/theme/educrown/)
10:29:47	28401/28401	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20May%202018%2023:09:10%20GMT	https://preview.colorlib.com/theme/educrown/assest/img/course/xblog-1.jpg.pagespeed.ic.zljXuJarij.jpg	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/course/xblog-1.jpg.pagespeed.ic.zljXuJarij.jpg	(from https://preview.colorlib.com/theme/educrown/)
10:29:48	28805/28805	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20May%202018%2023:09:09%20GMT	https://preview.colorlib.com/theme/educrown/assest/img/course/xblog-2.jpg.pagespeed.ic.Hl9ANprp-U.jpg	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/course/xblog-2.jpg.pagespeed.ic.Hl9ANprp-U.jpg	(from https://preview.colorlib.com/theme/educrown/)
10:29:48	51527/51527	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20May%202018%2023:09:11%20GMT	https://preview.colorlib.com/theme/educrown/assest/img/course/xblog-3.jpg.pagespeed.ic.I-bAYuI6Iy.jpg	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/course/xblog-3.jpg.pagespeed.ic.I-bAYuI6Iy.jpg	(from https://preview.colorlib.com/theme/educrown/)
10:29:49	28488/28488	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20May%202018%2023:09:13%20GMT	https://preview.colorlib.com/theme/educrown/assest/img/course/xblog-4.jpg.pagespeed.ic.-hCFdccVuQ.jpg	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/course/xblog-4.jpg.pagespeed.ic.-hCFdccVuQ.jpg	(from https://preview.colorlib.com/theme/educrown/)
10:29:49	102321/102321	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20May%202018%2023:08:47%20GMT	https://preview.colorlib.com/theme/educrown/assest/img/about/xabout.jpg.pagespeed.ic.o0-xQwZFy9.jpg	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/about/xabout.jpg.pagespeed.ic.o0-xQwZFy9.jpg	(from https://preview.colorlib.com/theme/educrown/)
10:29:49	4086/4086	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/educrown/assest/img/testmonial/xtestmonial.jpg.pagespeed.ic.NiP6dEKKiX.jpg	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/testmonial/xtestmonial.jpg.pagespeed.ic.NiP6dEKKiX.jpg	(from https://preview.colorlib.com/theme/educrown/)
10:29:50	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20May%202021%2004:59:48%20GMT	https://preview.colorlib.com/theme/educrown/blog.html	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/blog.html	(from https://preview.colorlib.com/theme/educrown/)
10:29:50	66967/66967	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20May%202018%2023:08:49%20GMT	https://preview.colorlib.com/theme/educrown/assest/img/blog/xblog-1.jpg.pagespeed.ic.sylBb3RTXl.jpg	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/blog/xblog-1.jpg.pagespeed.ic.sylBb3RTXl.jpg	(from https://preview.colorlib.com/theme/educrown/)
10:29:52	54707/54707	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20May%202018%2023:08:50%20GMT	https://preview.colorlib.com/theme/educrown/assest/img/blog/xblog-2.jpg.pagespeed.ic.ddZKeHvh0L.jpg	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/blog/xblog-2.jpg.pagespeed.ic.ddZKeHvh0L.jpg	(from https://preview.colorlib.com/theme/educrown/)
10:29:52	42175/42175	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20May%202018%2023:08:52%20GMT	https://preview.colorlib.com/theme/educrown/assest/img/blog/xblog-3.jpg.pagespeed.ic.hwdgIeLxe0.jpg	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/blog/xblog-3.jpg.pagespeed.ic.hwdgIeLxe0.jpg	(from https://preview.colorlib.com/theme/educrown/)
10:29:53	4946/4946	---M--	200	added ('OK')	image/png	date:Sat,%2019%20May%202018%2023:09:02%20GMT	https://preview.colorlib.com/theme/educrown/assest/img/client/xclient-6.png.pagespeed.ic.nU51kmpFnQ.png	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/client/xclient-6.png.pagespeed.ic.nU51kmpFnQ.png	(from https://preview.colorlib.com/theme/educrown/)
